Kod;Nazwa;ludność;
2209000;Powiat malborski;61012;
2210000;Powiat nowodworski POM;33815;
2211000;Powiat pucki;90942;
2212000;Powiat słupski;96231;
2213000;Powiat starogardzki;125437;
2214000;Powiat tczewski;111755;
2215000;Powiat wejherowski;227406;
2216000;Powiat sztumski;38678;
2261000;Powiat m. Gdańsk;486345;
2262000;Powiat m. Gdynia;242874;
2263000;Powiat m. Słupsk;86365;
2264000;Powiat m. Sopot;32276;
2400000;ŚLĄSKIE;4346702;
2401000;Powiat będziński;145429;
2402000;Powiat bielski;165836;
2403000;Powiat cieszyński;175579;
2404000;Powiat częstochowski;132009;
2405000;Powiat gliwicki;113223;
2406000;Powiat kłobucki;82451;
2407000;Powiat lubliniecki;75157;
2408000;Powiat mikołowski;99602;
2409000;Powiat myszkowski;68054;
2410000;Powiat pszczyński;110958;
2411000;Powiat raciborski;99974;
2412000;Powiat rybnicki;76816;
2413000;Powiat tarnogórski;139221;
2414000;Powiat bieruńsko-lędziński;59568;
2415000;Powiat wodzisławski;151133;
2416000;Powiat zawierciański;112774;
2417000;Powiat żywiecki;149439;
2461000;Powiat m. Bielsko-Biała;166765;
2462000;Powiat m. Bytom;149576;
2463000;Powiat m. Chorzów;101914;
2464000;Powiat m. Częstochowa;208282;
2465000;Powiat m. Dąbrowa Górnicza;114765;
2466000;Powiat m. Gliwice;171023;
2467000;Powiat m. Jastrzębie-Zdrój;83139;
2468000;Powiat m. Jaworzno;87552;
2469000;Powiat m. Katowice;280190;
2470000;Powiat m. Mysłowice;71643;
2471000;Powiat m. Piekary Śląskie;52137;
2472000;Powiat m. Ruda Śląska;131532;
2473000;Powiat m. Rybnik;131744;
2474000;Powiat m. Siemianowice Śląskie;63892;
2475000;Powiat m. Sosnowiec;189178;
2476000;Powiat m. Świętochłowice;45795;
2477000;Powiat m. Tychy;123105;
2478000;Powiat m. Zabrze;155430;
2479000;Powiat m. Żory;61817;
2600000;ŚWIĘTOKRZYSKIE;1178164;
2601000;Powiat buski;68470;
2602000;Powiat jędrzejowski;81786;
2603000;Powiat kazimierski;31966;
2604000;Powiat kielecki;211774;
2605000;Powiat konecki;74558;
2606000;Powiat opatowski;48894;
2607000;Powiat ostrowiecki;101311;
2608000;Powiat pińczowski;37011;
2609000;Powiat sandomierski;72616;
2610000;Powiat skarżyski;69087;
2611000;Powiat starachowicki;84514;
2612000;Powiat staszowski;69001;
2613000;Powiat włoszczowski;43291;
2661000;Powiat m. Kielce;183885;
2800000;WARMIŃSKO-MAZURSKIE;1366430;
2801000;Powiat bartoszycki;53220;
2802000;Powiat braniewski;37851;
2803000;Powiat działdowski;61917;
2804000;Powiat elbląski;54615;
2805000;Powiat ełcki;88621;
2806000;Powiat giżycki;54016;
2807000;Powiat iławski;90218;
2808000;Powiat kętrzyński;57792;
2809000;Powiat lidzbarski;38539;
2810000;Powiat mrągowski;47861;
2811000;Powiat nidzicki;30666;
2812000;Powiat nowomiejski;42209;
2813000;Powiat olecki;32222;
2814000;Powiat olsztyński;129555;
2815000;Powiat ostródzki;99744;
2816000;Powiat piski;52537;
2817000;Powiat szczycieński;66859;
2818000;Powiat gołdapski;25147;
2819000;Powiat węgorzewski;21062;
2861000;Powiat m. Elbląg;113567;
2862000;Powiat m. Olsztyn;168212;
3000000;WIELKOPOLSKIE;3493577;
